operadores	beneficio	tiempo
ChangeSwapAdd	74.4	82.302
ChangeSwapAdd	64.1	79.6941
ChangeSwapAdd	48.800000000000004	78.1066
ChangeSwapAdd	69.2	75.2296
ChangeSwapAdd	56.199999999999996	83.5221
ChangeSwapAdd	52.6	73.4159
ChangeSwapAdd	62.5	73.9009
ChangeSwapAdd	51.3	80.7196
ChangeSwapAdd	41.1	76.0233
ChangeSwapAdd	50.6	84.5788
ChangeSwapAdd	70.3	72.4523
ChangeSwapAdd	86.9	76.0132
ChangeSwapAdd	66.0	80.3594
ChangeSwapAdd	80.5	89.1176
ChangeSwapAdd	63.8	73.0009
ChangeSwapAdd	59.6	78.9381
ChangeSwapAdd	54.3	78.4557
ChangeSwapAdd	65.5	77.6699
ChangeSwapAdd	62.2	76.3146
ChangeSwapAdd	49.0	78.0791
ChangeSwapAdd	77.0	71.0073
ChangeSwapAdd	59.0	82.3875
ChangeSwapAdd	65.1	75.8809
ChangeSwapAdd	48.3	74.4774
ChangeSwapAdd	61.2	87.3879
ChangeSwapAdd	55.400000000000006	75.9012
ChangeSwapAdd	52.3	79.018
ChangeSwapAdd	61.1	86.4455
ChangeSwapAdd	59.9	77.1535
ChangeSwapAdd	65.2	78.3792
ChangeSwapAdd	93.3	79.747
ChangeSwapAdd	77.2	107.7315
ChangeSwapAdd	73.5	78.0922
ChangeSwapAdd	60.8	83.1616
ChangeSwapAdd	70.1	72.3245
ChangeSwapAdd	53.7	75.2638
ChangeSwapAdd	67.1	71.9706
ChangeSwapAdd	33.5	74.363
ChangeSwapAdd	68.1	75.5924
ChangeSwapAdd	52.9	78.4661
ChangeSwapAdd	66.1	74.3726
ChangeSwapAdd	53.2	71.9924
ChangeSwapAdd	36.6	84.7344
ChangeSwapAdd	56.9	74.0611
ChangeSwapAdd	51.2	77.1115
ChangeSwapAdd	52.9	77.7059
ChangeSwapAdd	44.3	71.5642
ChangeSwapAdd	53.9	78.629
ChangeSwapAdd	76.9	86.0801
ChangeSwapAdd	56.0	75.1036
ChangeSwapAdd	54.5	70.7073
ChangeSwapAdd	54.2	88.5343
ChangeSwapAdd	63.3	80.1142
ChangeSwapAdd	25.700000000000003	58.8507
ChangeSwapAdd	45.9	82.2468
ChangeSwapAdd	59.400000000000006	76.4803
ChangeSwapAdd	74.7	71.6807
ChangeSwapAdd	61.3	79.5215
ChangeSwapAdd	43.699999999999996	77.1758
ChangeSwapAdd	51.6	70.7115
ChangeSwapAdd	42.6	77.2763
ChangeSwapAdd	65.3	71.6424
ChangeSwapAdd	77.2	76.7533
ChangeSwapAdd	53.400000000000006	75.7685
ChangeSwapAdd	55.0	79.2922
ChangeSwapAdd	69.2	82.1132
ChangeSwapAdd	57.5	74.8218
ChangeSwapAdd	55.300000000000004	76.3109
ChangeSwapAdd	73.2	75.3429
ChangeSwapAdd	70.3	76.0513
ChangeSwapAdd	56.0	75.3019
ChangeSwapAdd	54.1	70.4416
ChangeSwapAdd	62.400000000000006	74.5947
ChangeSwapAdd	47.9	70.3296
ChangeSwapAdd	54.2	78.9848
ChangeSwapAdd	69.6	71.9875
ChangeSwapAdd	90.0	76.3738
ChangeSwapAdd	66.8	80.1161
ChangeSwapAdd	61.7	72.6055
ChangeSwapAdd	62.5	74.633
ChangeSwapAdd	53.9	83.3889
ChangeSwapAdd	47.2	76.8895
ChangeSwapAdd	65.1	76.4828
ChangeSwapAdd	57.8	79.124
ChangeSwapAdd	65.6	74.2249
ChangeSwapAdd	52.0	75.1184
ChangeSwapAdd	60.3	78.5087
ChangeSwapAdd	60.0	73.5864
ChangeSwapAdd	57.4	70.6835
ChangeSwapAdd	59.099999999999994	75.6638
ChangeSwapAdd	69.4	73.5736
ChangeSwapAdd	51.5	72.4116
ChangeSwapAdd	57.8	87.4657
ChangeSwapAdd	64.5	76.8974
ChangeSwapAdd	35.400000000000006	79.6104
ChangeSwapAdd	51.7	84.9327
ChangeSwapAdd	42.2	73.3784
ChangeSwapAdd	57.3	71.4739
ChangeSwapAdd	59.400000000000006	71.4817
ChangeSwapAdd	70.3	74.2808
ChangeSwapAdd	61.7	79.1067
ChangeSwapAdd	53.1	75.0603
ChangeSwapAdd	52.0	68.2549
ChangeSwapAdd	51.4	71.9474
ChangeSwapAdd	45.1	79.7558
ChangeSwapAdd	57.8	72.1363
ChangeSwapAdd	57.5	73.0001
ChangeSwapAdd	59.1	81.2326
ChangeSwapAdd	45.7	80.6936
ChangeSwapAdd	64.7	75.6363
ChangeSwapAdd	61.0	81.1336
ChangeSwapAdd	56.2	75.5904
ChangeSwapAdd	50.1	73.8173
ChangeSwapAdd	65.2	72.0825
ChangeSwapAdd	53.3	75.2023
ChangeSwapAdd	54.599999999999994	71.629
ChangeSwapAdd	58.2	80.5353
ChangeSwapAdd	56.4	87.7895
ChangeSwapAdd	55.8	76.7106
ChangeSwapAdd	83.0	72.41
ChangeSwapAdd	62.099999999999994	74.7545
ChangeSwapAdd	71.5	76.7762
ChangeSwapAdd	60.5	75.9769
ChangeSwapAdd	62.0	69.739
ChangeSwapAdd	75.3	76.8319
ChangeSwapAdd	58.0	76.0315
ChangeSwapAdd	48.5	76.7051
ChangeSwapAdd	60.1	70.3335
ChangeSwapAdd	48.8	85.9697
ChangeSwapAdd	66.8	78.1149
ChangeSwapAdd	54.7	76.8417
ChangeSwapAdd	54.1	79.9431
ChangeSwapAdd	57.7	75.996
ChangeSwapAdd	62.400000000000006	72.8235
ChangeSwapAdd	76.6	76.5562
ChangeSwapAdd	54.599999999999994	73.3533
ChangeSwapAdd	68.0	72.1269
ChangeSwapAdd	44.2	78.944
ChangeSwapAdd	32.800000000000004	75.7522
ChangeSwapAdd	52.2	85.0579
ChangeSwapAdd	50.7	78.1029
ChangeSwapAdd	65.5	76.8546
ChangeSwapAdd	70.9	80.2709
ChangeSwapAdd	55.3	74.1924
ChangeSwapAdd	60.0	75.1295
ChangeSwapAdd	56.7	73.9158
ChangeSwapAdd	69.4	72.7226
ChangeSwapAdd	56.5	75.8353
ChangeSwapAdd	56.9	74.019
ChangeSwapAdd	61.599999999999994	71.2153
ChangeSwapAdd	70.8	76.5597
ChangeSwapAdd	46.5	77.7847
ChangeSwapAdd	34.1	106.0392
ChangeSwapAdd	67.5	75.9692
ChangeSwapAdd	53.6	79.3429
ChangeSwapAdd	53.900000000000006	68.5761
ChangeSwapAdd	62.8	77.8397
ChangeSwapAdd	61.1	81.8121
ChangeSwapAdd	46.0	77.5554
ChangeSwapAdd	53.2	74.6407
ChangeSwapAdd	72.9	83.0725
ChangeSwapAdd	52.4	77.815
ChangeSwapAdd	53.5	92.2694
ChangeSwapAdd	53.3	76.5783
ChangeSwapAdd	53.0	79.2065
ChangeSwapAdd	66.5	89.078
ChangeSwapAdd	63.9	75.1176
ChangeSwapAdd	71.9	72.729
ChangeSwapAdd	58.1	88.6157
ChangeSwapAdd	48.6	75.0558
ChangeSwapAdd	39.900000000000006	73.2878
ChangeSwapAdd	45.1	82.9874
ChangeSwapAdd	69.6	76.3865
ChangeSwapAdd	67.9	73.0129
ChangeSwapAdd	67.69999999999999	77.6168
ChangeSwapAdd	52.4	74.8302
ChangeSwapAdd	58.1	74.2984
ChangeSwapAdd	44.5	79.8429
ChangeSwapAdd	69.0	76.0852
ChangeSwapAdd	67.2	73.3285
ChangeSwapAdd	47.6	86.5899
ChangeSwapAdd	38.7	89.2938
ChangeSwapAdd	60.2	95.616
ChangeSwapAdd	71.2	77.9158
ChangeSwapAdd	67.3	78.0705
ChangeSwapAdd	54.8	81.3989
ChangeSwapAdd	53.9	77.1003
ChangeSwapAdd	60.3	89.8846
ChangeSwapAdd	37.3	80.6541
ChangeSwapAdd	64.1	79.749
ChangeSwapAdd	56.6	90.668
ChangeSwapAdd	77.1	83.655
ChangeSwapAdd	55.5	78.6561
ChangeSwapAdd	44.9	78.8614
ChangeSwapAdd	66.2	80.5283
ChangeSwapAdd	60.599999999999994	78.0561
ChangeSwapAdd	43.7	80.2181
ChangeSwapAdd	66.0	81.1419
ChangeSwapAdd	66.8	75.7947
ChangeSwapAdd	57.0	70.3714
ChangeSwapAdd	68.0	77.6342
ChangeSwapAdd	54.8	79.393
ChangeSwapAdd	54.3	89.0038
ChangeSwapAdd	76.1	84.9787
ChangeSwapAdd	52.8	76.5245
ChangeSwapAdd	62.3	75.4331
ChangeSwapAdd	69.3	88.0939
ChangeSwapAdd	53.6	80.2836
ChangeSwapAdd	66.6	82.5701
ChangeSwapAdd	51.0	82.5494
ChangeSwapAdd	73.9	75.8258
ChangeSwapAdd	38.8	76.7152
ChangeSwapAdd	63.7	88.7723
ChangeSwapAdd	55.4	74.5506
ChangeSwapAdd	48.0	72.2102
ChangeSwapAdd	56.8	76.3501
ChangeSwapAdd	50.800000000000004	78.8372
ChangeSwapAdd	52.5	90.7688
ChangeSwapAdd	52.1	80.5026
ChangeSwapAdd	61.599999999999994	72.3433
ChangeSwapAdd	63.6	81.6294
ChangeSwapAdd	78.5	88.2629
ChangeSwapAdd	51.5	79.1327
ChangeSwapAdd	50.7	76.8559
ChangeSwapAdd	53.8	79.3476
ChangeSwapAdd	53.599999999999994	82.9341
ChangeSwapAdd	58.7	79.371
ChangeSwapAdd	54.1	85.7444
ChangeSwapAdd	66.9	80.1946
ChangeSwapAdd	48.7	117.7078
ChangeSwapAdd	62.0	78.5964
ChangeSwapAdd	50.6	79.6995
ChangeSwapAdd	59.1	83.6761
ChangeSwapAdd	61.9	81.1244
ChangeSwapAdd	71.0	84.9304
ChangeSwapAdd	65.0	87.5102
ChangeSwapAdd	39.7	80.3133
ChangeSwapAdd	73.1	76.9899
ChangeSwapAdd	79.8	104.4786
ChangeSwapAdd	56.5	75.0404
ChangeSwapAdd	75.1	83.2294
ChangeSwapAdd	69.6	108.5765
ChangeSwapAdd	55.5	109.1959
ChangeSwapAdd	43.6	84.7717
ChangeSwapAdd	61.6	80.2265
ChangeSwapAdd	63.0	76.8015
ChangeSwapAdd	58.2	82.6259
ChangeSwapAdd	47.900000000000006	77.884
ChangeSwapAdd	48.3	98.3491
ChangeSwapAdd	57.9	107.3084
ChangeSwapAdd	54.4	97.6759
ChangeSwapAdd	54.4	105.8529
ChangeSwapAdd	59.0	102.2933
ChangeSwapAdd	49.0	91.3257
ChangeSwapAdd	65.1	87.462
ChangeSwapAdd	50.0	85.2064
ChangeSwapAdd	68.9	85.251
ChangeSwapAdd	62.0	93.791
ChangeSwapAdd	65.5	93.7651
ChangeSwapAdd	48.2	87.2448
ChangeSwapAdd	67.9	91.8601
ChangeSwapAdd	49.800000000000004	78.2395
ChangeSwapAdd	63.7	84.2952
ChangeSwapAdd	52.8	75.6446
ChangeSwapAdd	58.4	83.0639
ChangeSwapAdd	60.7	84.1
ChangeSwapAdd	67.7	91.9448
ChangeSwapAdd	46.5	81.9833
ChangeSwapAdd	69.1	91.8355
ChangeSwapAdd	35.8	79.4701
ChangeSwapAdd	38.3	71.3051
ChangeSwapAdd	54.4	86.576
ChangeSwapAdd	75.6	89.5212
ChangeSwapAdd	56.1	100.3327
ChangeSwapAdd	41.2	79.4102
ChangeSwapAdd	61.7	78.5859
ChangeSwapAdd	59.7	88.0315
ChangeSwapAdd	50.2	70.1929
ChangeSwapAdd	52.7	81.6118
ChangeSwapAdd	60.3	101.6508
ChangeSwapAdd	39.0	78.7601
ChangeSwapAdd	63.4	73.729
ChangeSwapAdd	57.1	86.0113
ChangeSwapAdd	43.099999999999994	73.1767
ChangeSwapAdd	47.2	75.8391
ChangeSwapAdd	67.7	91.413
ChangeSwapAdd	38.5	77.0497
ChangeSwapAdd	68.5	73.2775
ChangeSwapAdd	56.5	81.3024
ChangeSwapAdd	63.7	78.1241
ChangeSwapAdd	49.599999999999994	81.1843
ChangeSwapAdd	63.099999999999994	81.0263
ChangeSwapAdd	76.1	76.3156
ChangeSwapAdd	70.9	72.6897
ChangeSwapAdd	75.0	84.2789
ChangeSwapAdd	52.8	76.4265
ChangeSwapAdd	76.5	70.5454
ChangeSwapAdd	52.2	81.5722
ChangeSwapAdd	73.7	72.2684
ChangeSwapAdd	77.5	80.6077
ChangeSwapAdd	81.2	92.1267
ChangeSwapAdd	39.0	87.4478
ChangeSwapAdd	61.6	77.1257
ChangeSwapAdd	55.7	93.5515
ChangeSwapAdd	83.2	78.2607
ChangeSwapAdd	57.099999999999994	93.887
ChangeSwapAdd	42.4	78.2326
ChangeSwapAdd	62.2	77.6472
ChangeSwapAdd	73.1	77.3584
ChangeSwapAdd	55.6	80.1615
ChangeSwapAdd	56.199999999999996	76.5025
ChangeSwapAdd	46.3	82.6866
ChangeSwapAdd	58.1	77.7904
ChangeSwapAdd	53.7	70.9773
ChangeSwapAdd	61.400000000000006	80.7826
ChangeSwapAdd	50.8	92.8592
ChangeSwapAdd	71.3	77.5299
ChangeSwapAdd	74.0	89.146
ChangeSwapAdd	45.5	74.4102
ChangeSwapAdd	40.1	93.432
ChangeSwapAdd	55.7	89.4948
ChangeSwapAdd	46.6	87.2805
ChangeSwapAdd	72.3	93.8016
ChangeSwapAdd	52.8	109.527
ChangeSwapAdd	59.0	94.3543
ChangeSwapAdd	88.3	143.6932
ChangeSwapAdd	56.1	99.2618
ChangeSwapAdd	98.7	83.7906
ChangeSwapAdd	40.5	80.2143
ChangeSwapAdd	69.30000000000001	80.5377
ChangeSwapAdd	45.400000000000006	81.1201
ChangeSwapAdd	31.3	85.8053
ChangeSwapAdd	42.2	83.5013
ChangeSwapAdd	58.400000000000006	79.1909
ChangeSwapAdd	71.2	75.6166
ChangeSwapAdd	35.7	92.3894
ChangeSwapAdd	77.8	81.3529
ChangeSwapAdd	45.2	88.7491
ChangeSwapAdd	74.3	80.2866
ChangeSwapAdd	36.5	77.8433
ChangeSwapAdd	57.7	82.0159
ChangeSwapAdd	58.1	85.2556
ChangeSwapAdd	70.9	81.5993
ChangeSwapAdd	60.1	94.1413
ChangeSwapAdd	49.9	94.8027
ChangeSwapAdd	49.1	83.0357
ChangeSwapAdd	62.0	89.4893
ChangeSwapAdd	82.6	80.7355
ChangeSwapAdd	43.0	82.668
ChangeSwapAdd	43.7	87.1703
ChangeSwapAdd	59.5	83.4017
ChangeSwapAdd	45.599999999999994	82.7263
ChangeSwapAdd	67.7	87.0052
ChangeSwapAdd	40.5	84.7675
ChangeSwapAdd	44.5	82.0355
ChangeSwapAdd	86.7	77.5788
ChangeSwapAdd	58.5	77.0631
ChangeSwapAdd	67.8	78.5898
ChangeSwapAdd	65.5	84.199
ChangeSwapAdd	53.1	91.0964
ChangeSwapAdd	54.4	107.7643
ChangeSwapAdd	63.5	95.544
ChangeSwapAdd	35.9	88.1812
ChangeSwapAdd	54.4	106.7741
ChangeSwapAdd	62.0	94.4346
ChangeSwapAdd	64.1	71.6898
ChangeSwapAdd	68.7	73.9927
ChangeSwapAdd	47.3	86.1632
ChangeSwapAdd	42.2	83.4926
ChangeSwapAdd	67.5	81.9764
ChangeSwapAdd	42.8	89.9747
ChangeSwapAdd	65.4	87.0072
ChangeSwapAdd	50.4	76.7232
ChangeSwapAdd	33.6	87.3373
ChangeSwapAdd	59.8	77.9256
ChangeSwapAdd	47.800000000000004	91.8414
ChangeSwapAdd	60.5	79.5508
ChangeSwapAdd	41.8	80.6827
ChangeSwapAdd	47.900000000000006	80.6885
ChangeSwapAdd	61.2	81.2486
ChangeSwapAdd	52.3	78.0134
ChangeSwapAdd	55.7	90.8452
ChangeSwapAdd	60.2	73.7814
ChangeSwapAdd	53.8	76.7426
ChangeSwapAdd	38.4	105.3134
ChangeSwapAdd	50.9	86.5372
ChangeSwapAdd	53.2	75.7665
ChangeSwapAdd	64.9	84.1757
ChangeSwapAdd	62.5	94.559
ChangeSwapAdd	63.5	90.2983
ChangeSwapAdd	58.6	92.765
ChangeSwapAdd	65.4	97.6996
ChangeSwapAdd	68.0	79.3075
ChangeSwapAdd	60.1	79.3767
ChangeSwapAdd	55.2	82.6289
ChangeSwapAdd	56.900000000000006	82.5699
ChangeSwapAdd	61.0	85.6704
ChangeSwapAdd	48.900000000000006	85.5195
ChangeSwapAdd	56.0	84.77
ChangeSwapAdd	73.9	75.0739
ChangeSwapAdd	43.4	77.9965
ChangeSwapAdd	46.0	84.2523
ChangeSwapAdd	42.400000000000006	78.6221
ChangeSwapAdd	73.0	77.0377
ChangeSwapAdd	54.5	80.9895
ChangeSwapAdd	38.4	84.1513
ChangeSwapAdd	59.3	82.1192
ChangeSwapAdd	56.1	90.2976
ChangeSwapAdd	45.8	91.9148
ChangeSwapAdd	56.400000000000006	76.2953
ChangeSwapAdd	99.5	80.1181
ChangeSwapAdd	35.7	79.5572
ChangeSwapAdd	72.1	77.0202
ChangeSwapAdd	64.4	74.5295
ChangeSwapAdd	73.9	74.47
ChangeSwapAdd	59.400000000000006	85.6027
ChangeSwapAdd	57.10000000000001	86.6775
ChangeSwapAdd	57.0	87.8045
ChangeSwapAdd	47.6	76.0834
ChangeSwapAdd	48.8	93.3008
ChangeSwapAdd	61.3	85.0751
ChangeSwapAdd	30.6	76.1587
ChangeSwapAdd	48.1	75.9118
ChangeSwapAdd	70.2	73.1623
ChangeSwapAdd	68.9	75.8537
ChangeSwapAdd	70.0	78.8801
ChangeSwapAdd	57.900000000000006	79.303
ChangeSwapAdd	50.7	78.6901
ChangeSwapAdd	51.4	73.7425
ChangeSwapAdd	64.0	75.8755
ChangeSwapAdd	58.1	71.0253
ChangeSwapAdd	49.4	69.7292
ChangeSwapAdd	66.2	72.8235
ChangeSwapAdd	67.6	76.4592
ChangeSwapAdd	77.7	67.26
